Symbol,Best_Strategy,Best_HTF_Period,SUPERTREND_Return,SUPERTREND_Equity,KAMA_Return,KAMA_Equity,JMA_Return,JMA_Equity,TREND_FOLLOW_Return,TREND_FOLLOW_Equity,SMA_Return,SMA_Equity,EMA_Return,EMA_Equity,SUPERTREND_HTF50_Return,SUPERTREND_HTF50_Equity,SUPERTREND_HTF100_Return,SUPERTREND_HTF100_Equity,SUPERTREND_HTF150_Return,SUPERTREND_HTF150_Equity,SUPERTREND_HTF200_Return,SUPERTREND_HTF200_Equity,SUPERTREND_HTF250_Return,SUPERTREND_HTF250_Equity,KAMA_HTF50_Return,KAMA_HTF50_Equity,KAMA_HTF100_Return,KAMA_HTF100_Equity,KAMA_HTF150_Return,KAMA_HTF150_Equity,KAMA_HTF200_Return,KAMA_HTF200_Equity,KAMA_HTF250_Return,KAMA_HTF250_Equity,JMA_HTF50_Return,JMA_HTF50_Equity,JMA_HTF100_Return,JMA_HTF100_Equity,JMA_HTF150_Return,JMA_HTF150_Equity,JMA_HTF200_Return,JMA_HTF200_Equity,JMA_HTF250_Return,JMA_HTF250_Equity,TREND_FOLLOW_HTF50_Return,TREND_FOLLOW_HTF50_Equity,TREND_FOLLOW_HTF100_Return,TREND_FOLLOW_HTF100_Equity,TREND_FOLLOW_HTF150_Return,TREND_FOLLOW_HTF150_Equity,TREND_FOLLOW_HTF200_Return,TREND_FOLLOW_HTF200_Equity,TREND_FOLLOW_HTF250_Return,TREND_FOLLOW_HTF250_Equity,SMA_HTF50_Return,SMA_HTF50_Equity,SMA_HTF100_Return,SMA_HTF100_Equity,SMA_HTF150_Return,SMA_HTF150_Equity,SMA_HTF200_Return,SMA_HTF200_Equity,SMA_HTF250_Return,SMA_HTF250_Equity,EMA_HTF50_Return,EMA_HTF50_Equity,EMA_HTF100_Return,EMA_HTF100_Equity,EMA_HTF150_Return,EMA_HTF150_Equity,EMA_HTF200_Return,EMA_HTF200_Equity,EMA_HTF250_Return,EMA_HTF250_Equity
IWM,EMA,0,16.834300000000013,11683.43,22.5355,12253.55,0.0,10000,0.0,10000,18.324000000000005,11832.4,32.3062,13230.619999999999,13.223800000000029,11322.380000000003,16.834300000000013,11683.43,16.834300000000013,11683.43,16.834300000000013,11683.43,16.834300000000013,11683.43,16.26270000000001,11626.27,22.5355,12253.55,22.5355,12253.55,22.5355,12253.55,22.5355,12253.55,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,18.324000000000005,11832.4,18.324000000000005,11832.4,18.324000000000005,11832.4,18.324000000000005,11832.4,18.324000000000005,11832.4,32.3062,13230.619999999999,32.3062,13230.619999999999,32.3062,13230.619999999999,32.3062,13230.619999999999,32.3062,13230.619999999999
UBER,EMA,0,-4.503199999999996,9549.68,-1.7288000000000303,9827.119999999997,0.0,10000,0.0,10000,14.580199999999977,11458.019999999999,16.343700000000005,11634.37,0.48320000000001695,10048.320000000002,5.6892000000000165,10568.920000000002,-3.918199999999983,9608.180000000002,-1.8939999999999957,9810.6,-4.503199999999996,9549.68,5.9943999999999775,10599.439999999997,13.887599999999956,11388.759999999997,-0.4619000000000262,9953.809999999998,0.9715999999999836,10097.159999999998,-1.7288000000000303,9827.119999999997,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,14.580199999999977,11458.019999999999,14.580199999999977,11458.019999999999,14.580199999999977,11458.019999999999,14.580199999999977,11458.019999999999,14.580199999999977,11458.019999999999,16.343700000000005,11634.37,16.343700000000005,11634.37,16.343700000000005,11634.37,16.343700000000005,11634.37,16.343700000000005,11634.37
JNJ,EMA,0,9.32809999999995,10932.809999999996,12.130300000000016,11213.03,0.0,10000,0.0,10000,36.11030000000002,13611.03,36.32360000000001,13632.36,15.805199999999985,11580.519999999999,8.17609999999993,10817.609999999993,9.32809999999995,10932.809999999996,9.32809999999995,10932.809999999996,9.32809999999995,10932.809999999996,12.008700000000005,11200.87,11.097899999999994,11109.789999999999,12.130300000000016,11213.03,12.130300000000016,11213.03,12.130300000000016,11213.03,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,36.11030000000002,13611.03,34.45269999999998,13445.269999999999,36.11030000000002,13611.03,36.11030000000002,13611.03,36.11030000000002,13611.03,36.32360000000001,13632.36,34.665999999999976,13466.599999999999,36.32360000000001,13632.36,36.32360000000001,13632.36,36.32360000000001,13632.36
NIO,EMA,0,6.5901999999999905,10659.019999999999,21.26009999999998,12126.009999999998,0.0,10000,0.0,10000,22.11230000000004,12211.230000000003,43.12859999999996,14312.859999999997,-3.705899999999984,9629.410000000002,-1.2310000000000043,9876.9,3.4901999999999767,10349.019999999999,6.5901999999999905,10659.019999999999,6.5901999999999905,10659.019999999999,17.333099999999966,11733.309999999998,26.131300000000014,12613.130000000001,21.026999999999994,12102.699999999999,21.026999999999994,12102.699999999999,21.26009999999998,12126.009999999998,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,26.281,12628.1,22.11230000000004,12211.230000000003,22.11230000000004,12211.230000000003,22.11230000000004,12211.230000000003,22.11230000000004,12211.230000000003,43.12859999999996,14312.859999999997,43.12859999999996,14312.859999999997,43.12859999999996,14312.859999999997,43.12859999999996,14312.859999999997,43.12859999999996,14312.859999999997
MU,EMA,0,214.5566,31455.66,264.38,36438.0,0.0,10000,0.0,10000,234.26880000000003,33426.880000000005,273.90319999999997,37390.32,195.1371,29513.71,214.5566,31455.66,214.5566,31455.66,214.5566,31455.66,214.5566,31455.66,241.9026000000001,34190.26000000001,264.38,36438.0,264.38,36438.0,264.38,36438.0,264.38,36438.0,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,224.58070000000006,32458.070000000003,234.26880000000003,33426.880000000005,234.26880000000003,33426.880000000005,234.26880000000003,33426.880000000005,234.26880000000003,33426.880000000005,270.8526,37085.26,273.90319999999997,37390.32,273.90319999999997,37390.32,273.90319999999997,37390.32,273.90319999999997,37390.32
TGT,EMA,0,-2.292699999999981,9770.730000000001,2.029800000000015,10202.980000000001,0.0,10000,0.0,10000,3.848100000000021,10384.810000000001,12.485600000000009,11248.560000000001,6.216099999999991,10621.609999999999,-9.632999999999992,9036.7,-11.820599999999981,8817.940000000002,-8.802399999999977,9119.760000000002,-2.292699999999981,9770.730000000001,5.1728,10517.28,-12.93519999999997,8706.480000000003,-9.142599999999979,9085.740000000002,-3.154199999999996,9684.58,2.029800000000015,10202.980000000001,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,3.848100000000021,10384.810000000001,11.429200000000028,11142.920000000002,11.429200000000028,11142.920000000002,3.848100000000021,10384.810000000001,3.848100000000021,10384.810000000001,12.485600000000009,11248.560000000001,-0.16320000000001889,9983.679999999998,2.9857000000000244,10298.570000000002,6.860600000000017,10686.060000000001,12.485600000000009,11248.560000000001
DRH,EMA,0,10.376299999999961,11037.629999999996,7.241999999999993,10724.199999999999,0.0,10000,0.0,10000,-2.4807000000000134,9751.929999999998,14.495199999999976,11449.519999999997,5.123600000000006,10512.36,11.511399999999995,11151.14,10.376299999999961,11037.629999999996,10.376299999999961,11037.629999999996,10.376299999999961,11037.629999999996,-0.9926000000000212,9900.739999999998,4.556300000000002,10455.630000000001,7.241999999999993,10724.199999999999,7.241999999999993,10724.199999999999,7.241999999999993,10724.199999999999,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,-2.4807000000000134,9751.929999999998,-2.4807000000000134,9751.929999999998,-2.4807000000000134,9751.929999999998,-2.4807000000000134,9751.929999999998,-2.4807000000000134,9751.929999999998,13.287599999999976,11328.759999999998,14.495199999999976,11449.519999999997,14.495199999999976,11449.519999999997,14.495199999999976,11449.519999999997,14.495199999999976,11449.519999999997
AFRM,EMA,0,-5.673800000000007,9432.619999999999,30.9779,13097.79,0.0,10000,0.0,10000,34.057500000000005,13405.75,43.2639,14326.39,-21.136600000000005,7886.339999999999,-9.349000000000018,9065.099999999999,-5.673800000000007,9432.619999999999,-5.673800000000007,9432.619999999999,-5.673800000000007,9432.619999999999,8.398999999999957,10839.899999999996,27.400400000000012,12740.04,27.390400000000014,12739.04,30.9779,13097.79,30.9779,13097.79,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,42.74549999999997,14274.549999999997,30.398000000000014,13039.800000000001,30.388000000000016,13038.800000000001,34.057500000000005,13405.75,34.057500000000005,13405.75,32.08639999999998,13208.639999999998,39.358399999999996,13935.84,39.3484,13934.84,43.2639,14326.39,43.2639,14326.39
XLF,EMA_HTF50,50,2.5691999999999826,10256.919999999998,0.09979999999996103,10009.979999999996,0.0,10000,0.0,10000,2.201199999999992,10220.119999999999,4.623400000000011,10462.340000000002,-0.5537000000000125,9944.63,2.5691999999999826,10256.919999999998,2.5691999999999826,10256.919999999998,2.5691999999999826,10256.919999999998,2.5691999999999826,10256.919999999998,-3.1924000000000397,9680.759999999997,0.09979999999996103,10009.979999999996,0.09979999999996103,10009.979999999996,0.09979999999996103,10009.979999999996,0.09979999999996103,10009.979999999996,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,2.201199999999992,10220.119999999999,2.201199999999992,10220.119999999999,2.201199999999992,10220.119999999999,2.201199999999992,10220.119999999999,2.201199999999992,10220.119999999999,5.698400000000015,10569.840000000002,4.623400000000011,10462.340000000002,4.623400000000011,10462.340000000002,4.623400000000011,10462.340000000002,4.623400000000011,10462.340000000002
UNH,JMA,0,-10.7618,8923.82,-30.4898,6951.0199999999995,0.0,10000,0.0,10000,-27.935900000000014,7206.409999999999,-23.750300000000003,7624.97,-19.571800000000007,8042.82,-26.913200000000003,7308.679999999999,-11.472300000000013,8852.769999999999,-13.029800000000014,8697.019999999999,-10.7618,8923.82,-16.191599999999994,8380.84,-24.917600000000007,7508.239999999999,-34.02800000000001,6597.199999999999,-30.722100000000008,6927.789999999999,-30.4898,6951.0199999999995,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,0.0,10000,-22.477400000000014,7752.259999999998,-30.15580000000001,6984.419999999999,-41.245100000000015,5875.489999999999,-31.626300000000008,6837.369999999999,-27.935900000000014,7206.409999999999,-19.050900000000006,8094.91,-27.6536,7234.639999999999,-23.750300000000003,7624.97,-23.349300000000017,7665.069999999999,-23.750300000000003,7624.97
