Symbol,Strategy,Trades,Winners,Losers,Win_Rate,PnL
SOFI,SUPERTREND,4,3,1,75.0,934.74
HOOD,SUPERTREND,1,1,0,100.0,855.4000000000001
AMD,SUPERTREND,3,2,1,66.66666666666666,719.3699999999999
INOD,SUPERTREND,11,4,7,36.36363636363637,645.64
AFRM,SUPERTREND,7,5,2,71.42857142857143,501.28999999999996
AVGO,SUPERTREND,2,2,0,100.0,494.67
PLTR,SUPERTREND,5,4,1,80.0,476.06000000000006
MU,SUPERTREND,1,1,0,100.0,355.03000000000003
TSLA,SUPERTREND,3,3,0,100.0,293.36
SNOW,SUPERTREND,4,2,2,50.0,242.03999999999996
NFLX,SUPERTREND,1,1,0,100.0,178.95000000000005
MRNA,SUPERTREND,8,3,5,37.5,154.20000000000007
AMZN,SUPERTREND,1,1,0,100.0,111.04000000000002
MSFT,SUPERTREND,1,1,0,100.0,81.67000000000002
UBER,SUPERTREND,2,1,1,50.0,71.32000000000001
LCID,SUPERTREND,2,1,1,50.0,30.200000000000045
NKE,SUPERTREND,4,1,3,25.0,24.280000000000015
ARM,SUPERTREND,6,2,4,33.33333333333333,4.8600000000000705
VTI,TREND_FOLLOW,0,0,0,0.0,0.0
JNJ,TREND_FOLLOW,0,0,0,0.0,0.0
IWM,SUPERTREND,0,0,0,0.0,0.0
PFE,SUPERTREND,0,0,0,0.0,0.0
AAPL,SUPERTREND,0,0,0,0.0,0.0
JPM,SUPERTREND,0,0,0,0.0,0.0
XLK,SUPERTREND,0,0,0,0.0,0.0
DIA,SUPERTREND,0,0,0,0.0,0.0
QQQ,TREND_FOLLOW,0,0,0,0.0,0.0
XLF,SUPERTREND,0,0,0,0.0,0.0
SPY,TREND_FOLLOW,0,0,0,0.0,0.0
CRM,SUPERTREND,3,1,2,33.33333333333333,-66.15
SMCI,SUPERTREND,9,3,6,33.33333333333333,-108.18999999999994
NOW,SUPERTREND,4,1,3,25.0,-148.6099999999999
PDYN,SUPERTREND,14,5,9,35.714285714285715,-213.93999999999994
MSTR,SUPERTREND,10,3,7,30.0,-509.53999999999996
