Symbol,Strategy,Trades,Winners,Losers,Win_Rate,PnL
QBTS,KAMA,15,6,9,40.0,1904.43
MU,EMA,3,3,0,100.0,1171.6
AMD,KAMA,3,2,1,66.66666666666666,679.49
INOD,KAMA,11,4,7,36.36363636363637,621.1400000000002
SHOP,KAMA,1,1,0,100.0,504.3800000000001
PLTR,KAMA,5,4,1,80.0,447.57000000000005
NVDA,KAMA,2,1,1,50.0,419.9000000000001
QUBT,SUPERTREND_HTF50,20,8,12,40.0,401.4000000000001
RIVN,KAMA_HTF50,7,4,3,57.14285714285714,378.29
TSLA,SMA,3,3,0,100.0,293.28000000000003
MRNA,KAMA_HTF50,8,3,5,37.5,139.40000000000003
PANW,KAMA_HTF150,2,2,0,100.0,64.21000000000001
UBER,EMA,2,1,1,50.0,63.94000000000007
DRH,EMA,1,1,0,100.0,35.20000000000003
NKE,SMA,4,1,3,25.0,5.530000000000065
GOOGL,SMA,0,0,0,0.0,0.0
VOO,KAMA,0,0,0,0.0,0.0
PFE,JMA,0,0,0,0.0,0.0
AAPL,SMA,0,0,0,0.0,0.0
VTI,KAMA,0,0,0,0.0,0.0
ARM,SMA_HTF50,6,2,4,33.33333333333333,-1.5600000000000023
LLY,SMA,1,0,1,0.0,-74.85000000000002
NFLX,SUPERTREND_HTF150,4,1,3,25.0,-86.39999999999999
TGT,EMA,2,0,2,0.0,-98.30999999999997
ADBE,SUPERTREND_HTF150,3,1,2,33.33333333333333,-100.40000000000003
SMCI,SUPERTREND_HTF100,9,3,6,33.33333333333333,-118.13999999999992
UPST,SMA,9,2,7,22.22222222222222,-125.26999999999994
NOW,SUPERTREND_HTF100,4,1,3,25.0,-159.92999999999995
PDYN,SUPERTREND,14,5,9,35.714285714285715,-223.53999999999994
UNH,JMA,6,1,5,16.666666666666664,-228.4099999999999
LCID,SUPERTREND_HTF200,10,1,9,10.0,-659.32
