Symbol,Strategy,Entry_Date,Entry_Price,Quantity,Exit_Date,Exit_Price,Exit_Reason,PnL,PnL_Pct,Holding_Days
ARM,SUPERTREND,2025-04-11,103.99,6,2025-07-14,144.54,TRAILING_STOP,241.29999999999998,38.99413405135109,94
AMZN,SUPERTREND,2025-04-11,184.87,3,2025-11-18,222.55,TRAILING_STOP,111.04000000000002,20.381889976740418,221
JPM,SUPERTREND,2025-04-11,236.2,2,,,,,,
MSFT,SUPERTREND,2025-04-11,388.45,1,2025-11-21,472.12,TRAILING_STOP,81.67000000000002,21.5394516668812,224
AAPL,SUPERTREND,2025-04-11,198.15,3,,,,,,
SNOW,SUPERTREND,2025-04-11,144.96,4,2025-08-08,191.73,TRAILING_STOP,185.07999999999993,32.26407284768211,119
INOD,SUPERTREND,2025-04-11,37.09,17,2025-04-21,29.68,TRAILING_STOP,-127.97000000000006,-19.978430843893243,10
MRNA,SUPERTREND,2025-04-11,26.2,25,2025-05-06,24.43,TRAILING_STOP,-46.249999999999986,-6.7557251908396925,25
TSLA,SUPERTREND,2025-04-11,252.31,2,2025-06-05,284.7,TRAILING_STOP,62.77999999999997,12.837382584915376,55
NKE,SUPERTREND,2025-04-11,54.39,12,2025-09-25,69.24,TRAILING_STOP,176.19999999999993,27.30281301709872,167
PLTR,SUPERTREND,2025-04-11,88.55,7,2025-05-06,108.86,TRAILING_STOP,140.17000000000002,22.936194240542072,25
AMD,SUPERTREND,2025-04-11,93.4,7,2025-09-03,162.13,TRAILING_STOP,479.1099999999999,73.5867237687366,145
PFE,SUPERTREND,2025-04-11,21.91,30,,,,,,
UBER,SUPERTREND,2025-04-11,72.28,9,2025-11-20,83.36,TRAILING_STOP,97.71999999999998,15.329275041505255,223
IWM,SUPERTREND,2025-04-11,184.36,3,,,,,,
AFRM,SUPERTREND,2025-04-11,40.49,16,2025-05-09,46.41,TRAILING_STOP,92.71999999999991,14.620894047913053,28
CRM,SUPERTREND,2025-04-11,255.0,2,2025-08-01,250.74,TRAILING_STOP,-10.519999999999982,-1.670588235294114,112
MSTR,SUPERTREND,2025-04-11,299.98,2,2025-05-23,369.51,TRAILING_STOP,137.05999999999995,23.178211880792045,42
PDYN,SUPERTREND,2025-04-11,6.21,107,2025-06-13,7.96,TRAILING_STOP,185.25,28.180354267310786,63
AVGO,SUPERTREND,2025-04-11,181.94,3,2025-10-10,324.63,TRAILING_STOP,426.07,78.42695394085962,182
NOW,SUPERTREND,2025-04-11,157.13,4,2025-08-01,182.87,TRAILING_STOP,100.96000000000004,16.3813402914784,112
SMCI,SUPERTREND,2025-04-11,33.15,20,2025-04-30,31.86,TRAILING_STOP,-27.799999999999983,-3.891402714932124,19
SOFI,SUPERTREND,2025-04-11,10.71,62,2025-10-01,25.76,TRAILING_STOP,931.1,140.52287581699346,173
DIA,SUPERTREND,2025-04-11,401.91,1,,,,,,
XLK,SUPERTREND,2025-04-11,99.17,6,,,,,,
MU,SUPERTREND,2025-04-11,69.55,9,2025-07-22,109.22,TRAILING_STOP,355.03000000000003,57.03810208483107,102
NFLX,SUPERTREND,2025-04-11,91.83,7,2025-07-23,117.68,TRAILING_STOP,178.95000000000005,28.149842099531753,103
XLF,SUPERTREND,2025-04-11,46.67,14,,,,,,
LCID,SUPERTREND,2025-04-11,25.0,26,2025-05-07,22.5,TRAILING_STOP,-67.0,-10.0,26
HOOD,SUPERTREND,2025-04-11,43.68,15,2025-09-02,100.84,TRAILING_STOP,855.4000000000001,130.86080586080587,144
INOD,SUPERTREND,2025-04-21,29.68,21,2025-05-09,34.62,TRAILING_STOP,101.73999999999995,16.644204851752015,18
SMCI,SUPERTREND,2025-04-30,31.86,22,2025-05-23,40.09,TRAILING_STOP,179.0600000000001,25.8317639673572,23
